id,level,duration,is_verified,created_by,created_at,updated_at,study_id,skill_id
23,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,9,217
24,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,9,218
25,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,9,219
26,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,10,220
27,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,10,221
28,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,11,222
29,3,10,0,,2024-09-11 10:15:11,2024-09-11 10:15:11,12,223
30,0,1,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,13,296
31,0,1,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,13,297
32,1,2,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,14,298
33,1,2,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,14,299
34,1,2,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,15,300
35,1,2,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,15,301
36,1,1,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,16,302
37,1,1,0,,2024-09-11 10:16:19,2024-09-11 10:16:19,16,303
38,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,21
39,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,28
40,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,16
41,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,17
42,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,18
43,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,22
44,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,19
45,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,20
46,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,264
47,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,305
48,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,55
49,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,265
50,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,42
51,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,41
52,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,36
53,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,49
54,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,50
55,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,306
56,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,79
57,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,81
58,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,82
59,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,190
60,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,114
61,1,3,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,17,109
