id,school_name,is_verified,created_by,created_at,updated_at
65,YOUCODE SAFI (OCP / SIMPLON.CO),0,,2024-11-12 10:01:25,2024-11-12 10:01:25
66,INSTITUT SPÉCIALISÉ DE TECHNOLOGIE APPLIQUÉE - OUARZAZATE,0,,2024-11-12 10:01:25,2024-11-12 10:01:25
67,POLYDISCIPLINARY FACULTY-OUARZAZATE,0,,2024-11-12 10:01:25,2024-11-12 10:01:25
68,LYCÉE DE BOUMALNE : BOUMALNE DADES,0,,2024-11-12 10:01:25,2024-11-12 10:01:25
69,"FACULTY OF SCIENCE AND TECHNOLOGY, MARRAKECH",0,,2024-11-12 10:01:27,2024-11-12 10:01:27
70,TAHA HUSSEIN HIGH SCHOOL IN KÉNITRA,0,,2024-11-12 10:01:27,2024-11-12 10:01:27
71,FRANCE,0,,2024-11-12 10:01:34,2024-11-12 10:01:34
72,LYCÉE CHARIF IDRISSI,0,,2024-11-12 10:01:35,2024-11-12 10:01:35
73,ECOLE MAROCAINE DES SCIENCES DE L’INGÉNIEUR (EMSI) RABAT,0,,2024-11-12 10:01:35,2024-11-12 10:01:35
74,INNOSOFT,0,,2024-11-12 10:01:35,2024-11-12 10:01:35
75,UDEMY,0,,2024-11-12 10:01:35,2024-11-12 10:01:35
76,NATIONAL SCHOOL FOR COMPUTER SCIENCE (ENSIAS),0,,2024-11-12 10:01:39,2024-11-12 10:01:39
77,PREPARATORY CLASSES FOR ENGINEERING SCHOOLS (CPGE),0,,2024-11-12 10:01:39,2024-11-12 10:01:39
78,MOLAY RCHID HIGH SCHOOL,0,,2024-11-12 10:01:39,2024-11-12 10:01:39
79,UNIVERSITÉ COTE D’AZUR,0,,2024-11-12 10:01:44,2024-11-12 10:01:44
80,ÉCOLE MAROCAINE DES SCIENCES DE L’INGÉNIEUR,0,,2024-11-12 10:01:44,2024-11-12 10:01:44
81,FACULTÉ DES SCIENCES ET TECHNIQUES,0,,2024-11-12 10:01:44,2024-11-12 10:01:44
82,LYCÉE IBN ROCHD,0,,2024-11-12 10:01:44,2024-11-12 10:01:44
83,UNIVERSITÉ IBN TOFAIL FACULTÉ DES SCIENCES KÉNITRA,0,,2024-11-12 10:01:53,2024-11-12 10:01:53
84,UNIVERSITÉ HASSAN 1ÉRE FACULTÉ DES SCIENCES ET TECHNIQUES DE SETTAT,0,,2024-11-12 10:01:53,2024-11-12 10:01:53
85,ÉCOLE NATIONALE DES SCIENCES APPLIQUÉES DE TÉTOUAN (ENSATE),0,,2024-11-12 10:02:02,2024-11-12 10:02:02
86,LYCÉE,0,,2024-11-12 10:02:02,2024-11-12 10:02:02
87,"SEWACARD INDUSTRIES, DAKAR",0,,2024-11-12 10:02:20,2024-11-12 10:02:20
88,NIIT SÉNÉGAL,0,,2024-11-12 10:02:20,2024-11-12 10:02:20
89,EPFI SÉNÉGAL,0,,2024-11-12 10:02:20,2024-11-12 10:02:20
90,"CTIC DAKAR, SYNAPSE CENTER",0,,2024-11-12 10:02:20,2024-11-12 10:02:20
91,"ESSEC, BUSINESS SCHOOL, PARIS",0,,2024-12-11 11:08:28,2024-12-11 11:08:28
92,"ENSEA, ENGINEERING SCHOOL, PARIS",0,,2024-12-11 11:08:28,2024-12-11 11:08:28
93,ECOLE SUPÉRIEURE DE TECHNOLOGIE D’OUJDA,0,,2024-12-16 10:29:02,2024-12-16 10:29:02
94,LYCÉE ENNAHDA AHFIR,0,,2024-12-16 10:29:02,2024-12-16 10:29:02
95,ENSET MOHAMMEDIA,0,,2024-12-16 10:29:07,2024-12-16 10:29:07
96,ENS TETOUAN,0,,2024-12-16 10:29:07,2024-12-16 10:29:07
97,NATIONAL INSTITUTE FOR POSTAL AND TELECOMMUNICATION,0,,2024-12-16 10:29:09,2024-12-16 10:29:09
98,HIGH SCHOOL OF TECHNOLOGY – MEKNÈS,0,,2024-12-16 10:29:09,2024-12-16 10:29:09
99,HIGH SCHOOL OF TECHNOLOGY – ESSAOUIRA,0,,2024-12-16 10:29:09,2024-12-16 10:29:09
100,"MOHAMED V UNIVERSITY, RABAT",0,,2024-12-16 10:29:21,2024-12-16 10:29:21
101,"IBN-ZOHR UNIVERSITY, AGADIR",0,,2024-12-16 10:29:22,2024-12-16 10:29:22
102,TASSAOUT HIGH SCHOOL,0,,2024-12-16 10:29:33,2024-12-16 10:29:33
103,"CADI AYYAD UNIVERSITY, FACULTY OF SCIENCE SEMLALIA",0,,2024-12-16 10:29:33,2024-12-16 10:29:33
104,"IBN TOFAIL UNIVERSITY, FACULTY OF SCIENCE KENITRA",0,,2024-12-16 10:29:33,2024-12-16 10:29:33
105,FACULTY OF SCIENCES – RABAT,0,,2024-12-16 10:29:34,2024-12-16 10:29:34
106,NATIONAL INSTITUTE OF POSTS AND TELECOMMUNICATIONS,0,,2024-12-17 09:27:00,2024-12-17 09:27:00
107,HIGHER SCHOOLS PREPARATORY CLASSES - REDA SLAOUI,0,,2024-12-17 09:27:00,2024-12-17 09:27:00
108,FST,0,,2024-12-17 10:36:00,2024-12-17 10:36:00
109,PREPARATORY CLASS BTS,0,,2024-12-17 10:36:00,2024-12-17 10:36:00
