id,level,duration,is_verified,created_by,created_at,updated_at,experience_id,skill_id
18,3,2,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,7,146
19,3,2,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,7,224
20,2,2,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,7,225
21,2,2,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,8,226
22,2,2,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,8,227
23,2,2,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,8,228
24,3,3,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,9,147
25,3,3,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,9,138
26,3,3,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,9,155
27,2,3,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,10,229
28,3,3,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,10,138
29,1,1,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,10,230
30,2,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,11,231
31,2,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,11,232
32,2,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,12,22
33,2,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,12,79
34,2,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,12,233
35,1,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,13,234
36,1,0,0,,2024-09-11 10:15:45,2024-09-11 10:15:45,13,235
37,1,1,0,,2024-09-11 10:16:27,2024-09-11 10:16:27,14,304
38,1,1,0,,2024-09-11 10:16:27,2024-09-11 10:16:27,14,237
39,1,1,0,,2024-09-11 10:16:27,2024-09-11 10:16:27,15,241
40,1,1,0,,2024-09-11 10:16:27,2024-09-11 10:16:27,15,244
41,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,16,309
42,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,16,81
43,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,16,52
44,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,16,274
45,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,16,28
46,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,16,41
47,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,17,310
48,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,17,52
49,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,17,51
50,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,17,21
51,1,0,0,,2024-09-11 10:16:56,2024-09-11 10:16:56,17,311
52,1,0,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,17,274
53,1,0,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,18,265
54,1,0,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,18,44
55,1,0,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,18,273
56,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,19,47
57,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,19,114
58,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,19,275
59,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,19,276
60,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,19,312
61,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,20,310
62,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,20,281
63,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,20,52
64,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,20,312
65,2,1,0,,2024-09-11 10:16:57,2024-09-11 10:16:57,20,41
66,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,58
67,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,20
68,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,79
69,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,42
70,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,281
71,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,282
72,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,109
73,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,313
74,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,120
75,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,283
76,0,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,21,284
77,2,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,55
78,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,22
79,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,285
80,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,282
81,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,79
82,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,109
83,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,313
84,1,1,0,,2024-09-11 10:17:02,2024-09-11 10:17:02,22,114
85,3,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,23,19
86,3,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,23,42
87,3,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,23,114
88,2,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,24,19
89,2,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,24,43
90,2,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,25,19
91,2,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,25,265
92,2,1,0,,2024-09-11 10:19:28,2024-09-11 10:19:28,25,43
93,3,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,26,20
94,3,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,26,19
95,3,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,26,265
96,3,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,26,43
97,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,27,265
98,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,27,37
99,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,27,40
100,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,27,114
101,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,28,20
102,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,28,316
103,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,28,86
104,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,28,40
105,3,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,29,20
106,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,29,59
107,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,29,35
108,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,29,36
109,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,29,40
110,2,1,0,,2024-09-11 10:19:44,2024-09-11 10:19:44,29,209
111,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,30,105
112,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,30,339
113,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,30,379
114,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,30,380
115,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,30,381
116,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,31,105
117,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,31,339
118,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,31,380
119,3,3,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,31,381
120,3,4,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,32,105
121,3,4,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,32,339
122,3,4,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,32,265
123,3,4,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,32,382
124,3,4,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,32,96
125,3,2,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,33,383
126,3,2,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,33,19
127,3,2,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,33,65
128,3,2,0,,2024-09-11 10:19:46,2024-09-11 10:19:46,33,268
129,3,2,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,21
130,3,2,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,42
131,3,2,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,36
132,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,49
133,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,63
134,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,384
135,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,113
136,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,313
137,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,385
138,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,118
139,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,386
140,1,1,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,387
141,3,2,0,,2024-09-11 10:19:51,2024-09-11 10:19:51,34,3
142,2,1,0,,2024-09-11 10:19:52,2024-09-11 10:19:52,35,388
143,2,1,0,,2024-09-11 10:19:52,2024-09-11 10:19:52,35,389
144,3,2,0,,2024-09-11 10:19:52,2024-09-11 10:19:52,35,390
145,2,1,0,,2024-09-11 10:19:52,2024-09-11 10:19:52,35,391
146,2,1,0,,2024-09-11 10:19:52,2024-09-11 10:19:52,35,392
147,2,1,0,,2024-09-11 10:19:52,2024-09-11 10:19:52,35,89
