id,created_by,created_at,updated_at,counterparty_id,contract_id
27,,2024-12-25 11:42:36,2024-12-25 11:42:36,25,4
28,,2024-12-25 11:42:36,2024-12-25 11:42:36,84,4
29,,2024-12-25 11:42:36,2024-12-25 11:42:36,68,4
30,,2024-12-26 11:27:14,2024-12-26 11:27:14,25,5
31,,2024-12-26 11:27:14,2024-12-26 11:27:14,32,5
32,,2024-12-26 11:27:48,2024-12-26 11:27:48,25,6
33,,2024-12-26 11:27:48,2024-12-26 11:27:48,82,6
34,,2024-12-26 11:27:48,2024-12-26 11:27:48,32,6
